página,num_fotos,topico,curso,archivos
1,2,operaciones-basicas,matematicas-1,pag_1_foto_1.jpg; pag_1_foto_2.jpg
2,6,operaciones-basicas,matematicas-1,pag_2_foto_1.jpg; pag_2_foto_2.jpg; pag_2_foto_3.jpg; pag_2_foto_4.jpg; pag_2_foto_5.jpg; pag_2_foto_6.jpg
3,5,operaciones-basicas,matematicas-1,pag_3_foto_1.jpg; pag_3_foto_2.jpg; pag_3_foto_3.jpg; pag_3_foto_4.jpg; pag_3_foto_5.jpg
6,4,jerarquia,matematicas-1,pag_6_foto_1.jpg; pag_6_foto_2.jpg; pag_6_foto_3.jpg; pag_6_foto_4.jpg
7,2,jerarquia,matematicas-1,pag_7_foto_1.jpg; pag_7_foto_2.jpg
8,3,jerarquia,matematicas-1,pag_8_foto_1.jpg; pag_8_foto_2.jpg; pag_8_foto_3.jpg
9,2,jerarquia,matematicas-1,pag_9_foto_1.jpg; pag_9_foto_2.jpg
11,3,ecuaciones,matematicas-1,pag_11_foto_1.jpg; pag_11_foto_2.jpg; pag_11_foto_3.jpg
12,2,ecuaciones,matematicas-1,pag_12_foto_1.jpg; pag_12_foto_2.jpg
13,2,ecuaciones,matematicas-1,pag_13_foto_1.jpg; pag_13_foto_2.jpg
14,3,ecuaciones,matematicas-1,pag_14_foto_1.jpg; pag_14_foto_2.jpg; pag_14_foto_3.jpg
15,5,ecuaciones,matematicas-1,pag_15_foto_1.jpg; pag_15_foto_2.jpg; pag_15_foto_3.jpg; pag_15_foto_4.jpg; pag_15_foto_5.jpg
16,3,ecuaciones,matematicas-1,pag_16_foto_1.jpg; pag_16_foto_2.jpg; pag_16_foto_3.jpg
17,2,ecuaciones,matematicas-1,pag_17_foto_1.jpg; pag_17_foto_2.jpg
19,3,monomios,matematicas-1,pag_19_foto_1.jpg; pag_19_foto_2.jpg; pag_19_foto_3.jpg
20,8,monomios,matematicas-1,pag_20_foto_1.jpg; pag_20_foto_2.jpg; pag_20_foto_3.jpg; pag_20_foto_4.jpg; pag_20_foto_5.jpg; pag_20_foto_6.jpg; pag_20_foto_7.jpg; pag_20_foto_8.jpg
21,3,monomios,matematicas-1,pag_21_foto_1.jpg; pag_21_foto_2.jpg; pag_21_foto_3.jpg
22,2,monomios,matematicas-1,pag_22_foto_1.jpg; pag_22_foto_2.jpg
23,2,monomios,matematicas-1,pag_23_foto_1.jpg; pag_23_foto_2.jpg
24,3,monomios,matematicas-1,pag_24_foto_1.jpg; pag_24_foto_2.jpg; pag_24_foto_3.jpg
25,3,monomios,matematicas-1,pag_25_foto_1.jpg; pag_25_foto_2.jpg; pag_25_foto_3.jpg
26,3,expresiones-algebraicas,matematicas-1,pag_26_foto_1.jpg; pag_26_foto_2.jpg; pag_26_foto_3.jpg
27,3,expresiones-algebraicas,matematicas-1,pag_27_foto_1.jpg; pag_27_foto_2.jpg; pag_27_foto_3.jpg
28,4,expresiones-algebraicas,matematicas-1,pag_28_foto_1.jpg; pag_28_foto_2.jpg; pag_28_foto_3.jpg; pag_28_foto_4.jpg
29,2,expresiones-algebraicas,matematicas-1,pag_29_foto_1.jpg; pag_29_foto_2.jpg
30,2,expresiones-algebraicas,matematicas-1,pag_30_foto_1.jpg; pag_30_foto_2.jpg
32,8,expresiones-algebraicas,matematicas-1,pag_32_foto_1.jpg; pag_32_foto_2.jpg; pag_32_foto_3.jpg; pag_32_foto_4.jpg; pag_32_foto_5.jpg; pag_32_foto_6.jpg; pag_32_foto_7.jpg; pag_32_foto_8.jpg
33,10,grafica-tabulacion,matematicas-1,pag_33_foto_1.jpg; pag_33_foto_10.jpg; pag_33_foto_2.jpg; pag_33_foto_3.jpg; pag_33_foto_4.jpg; pag_33_foto_5.jpg; pag_33_foto_6.jpg; pag_33_foto_7.jpg; pag_33_foto_8.jpg; pag_33_foto_9.jpg
34,6,grafica-tabulacion,matematicas-1,pag_34_foto_1.jpg; pag_34_foto_2.jpg; pag_34_foto_3.jpg; pag_34_foto_4.jpg; pag_34_foto_5.jpg; pag_34_foto_6.jpg
35,3,grafica-tabulacion,matematicas-1,pag_35_foto_1.jpg; pag_35_foto_2.jpg; pag_35_foto_3.jpg
36,1,grafica-tabulacion,matematicas-1,pag_36_foto_1.jpg
37,2,grafica-tabulacion,matematicas-1,pag_37_foto_1.jpg; pag_37_foto_2.jpg
39,2,grafica-tabulacion,matematicas-1,pag_39_foto_1.jpg; pag_39_foto_2.jpg
40,4,grafica-tabulacion,matematicas-1,pag_40_foto_1.jpg; pag_40_foto_2.jpg; pag_40_foto_3.jpg; pag_40_foto_4.jpg
41,7,pendiente-ordenada,matematicas-1,pag_41_foto_1.jpg; pag_41_foto_2.jpg; pag_41_foto_3.jpg; pag_41_foto_4.jpg; pag_41_foto_5.jpg; pag_41_foto_6.jpg; pag_41_foto_7.jpg
42,3,pendiente-ordenada,matematicas-1,pag_42_foto_1.jpg; pag_42_foto_2.jpg; pag_42_foto_3.jpg
43,4,pendiente-ordenada,matematicas-1,pag_43_foto_1.jpg; pag_43_foto_2.jpg; pag_43_foto_3.jpg; pag_43_foto_4.jpg
44,3,pendiente-ordenada,matematicas-1,pag_44_foto_1.jpg; pag_44_foto_2.jpg; pag_44_foto_3.jpg
45,2,pendiente-ordenada,matematicas-1,pag_45_foto_1.jpg; pag_45_foto_2.jpg
46,6,pendiente-ordenada,matematicas-1,pag_46_foto_1.jpg; pag_46_foto_2.jpg; pag_46_foto_3.jpg; pag_46_foto_4.jpg; pag_46_foto_5.jpg; pag_46_foto_6.jpg
47,5,pendiente-ordenada,matematicas-1,pag_47_foto_1.jpg; pag_47_foto_2.jpg; pag_47_foto_3.jpg; pag_47_foto_4.jpg; pag_47_foto_5.jpg
48,3,area-perimetro,matematicas-1,pag_48_foto_1.jpg; pag_48_foto_2.jpg; pag_48_foto_3.jpg
49,3,area-perimetro,matematicas-1,pag_49_foto_1.jpg; pag_49_foto_2.jpg; pag_49_foto_3.jpg
50,4,area-perimetro,matematicas-1,pag_50_foto_1.jpg; pag_50_foto_2.jpg; pag_50_foto_3.jpg; pag_50_foto_4.jpg
51,2,area-perimetro,matematicas-1,pag_51_foto_1.jpg; pag_51_foto_2.jpg
52,11,area-perimetro,matematicas-1,pag_52_foto_1.jpg; pag_52_foto_10.jpg; pag_52_foto_11.jpg; pag_52_foto_2.jpg; pag_52_foto_3.jpg; pag_52_foto_4.jpg; pag_52_foto_5.jpg; pag_52_foto_6.jpg; pag_52_foto_7.jpg; pag_52_foto_8.jpg; pag_52_foto_9.jpg
53,3,area-perimetro,matematicas-1,pag_53_foto_1.jpg; pag_53_foto_2.jpg; pag_53_foto_3.jpg
54,3,area-perimetro,matematicas-1,pag_54_foto_1.jpg; pag_54_foto_2.jpg; pag_54_foto_3.jpg
56,2,ecuaciones-angulos,matematicas-1,pag_56_foto_1.jpg; pag_56_foto_2.jpg
57,3,ecuaciones-angulos,matematicas-1,pag_57_foto_1.jpg; pag_57_foto_2.jpg; pag_57_foto_3.jpg
58,2,ecuaciones-angulos,matematicas-1,pag_58_foto_1.jpg; pag_58_foto_2.jpg
59,3,ecuaciones-angulos,matematicas-1,pag_59_foto_1.jpg; pag_59_foto_2.jpg; pag_59_foto_3.jpg
60,10,ecuaciones-angulos,matematicas-1,pag_60_foto_1.jpg; pag_60_foto_10.jpg; pag_60_foto_2.jpg; pag_60_foto_3.jpg; pag_60_foto_4.jpg; pag_60_foto_5.jpg; pag_60_foto_6.jpg; pag_60_foto_7.jpg; pag_60_foto_8.jpg; pag_60_foto_9.jpg
61,3,operaciones-con-fracciones,matematicas-2,pag_61_foto_1.jpg; pag_61_foto_2.jpg; pag_61_foto_3.jpg
62,2,operaciones-con-fracciones,matematicas-2,pag_62_foto_1.jpg; pag_62_foto_2.jpg
63,5,operaciones-con-fracciones,matematicas-2,pag_63_foto_1.jpg; pag_63_foto_2.jpg; pag_63_foto_3.jpg; pag_63_foto_4.jpg; pag_63_foto_5.jpg
64,5,operaciones-con-fracciones,matematicas-2,pag_64_foto_1.jpg; pag_64_foto_2.jpg; pag_64_foto_3.jpg; pag_64_foto_4.jpg; pag_64_foto_5.jpg
65,3,operaciones-con-fracciones,matematicas-2,pag_65_foto_1.jpg; pag_65_foto_2.jpg; pag_65_foto_3.jpg
66,6,operaciones-con-fracciones,matematicas-2,pag_66_foto_1.jpg; pag_66_foto_2.jpg; pag_66_foto_3.jpg; pag_66_foto_4.jpg; pag_66_foto_5.jpg; pag_66_foto_6.jpg
69,9,operaciones-con-fracciones,matematicas-2,pag_69_foto_1.jpg; pag_69_foto_2.jpg; pag_69_foto_3.jpg; pag_69_foto_4.jpg; pag_69_foto_5.jpg; pag_69_foto_6.jpg; pag_69_foto_7.jpg; pag_69_foto_8.jpg; pag_69_foto_9.jpg
70,6,operaciones-con-fracciones,matematicas-2,pag_70_foto_1.jpg; pag_70_foto_2.jpg; pag_70_foto_3.jpg; pag_70_foto_4.jpg; pag_70_foto_5.jpg; pag_70_foto_6.jpg
71,3,jerarquia-con-fracciones,matematicas-2,pag_71_foto_1.jpg; pag_71_foto_2.jpg; pag_71_foto_3.jpg
72,2,jerarquia-con-fracciones,matematicas-2,pag_72_foto_1.jpg; pag_72_foto_2.jpg
73,4,jerarquia-con-fracciones,matematicas-2,pag_73_foto_1.jpg; pag_73_foto_2.jpg; pag_73_foto_3.jpg; pag_73_foto_4.jpg
74,2,jerarquia-con-fracciones,matematicas-2,pag_74_foto_1.jpg; pag_74_foto_2.jpg
75,4,jerarquia-con-fracciones,matematicas-2,pag_75_foto_1.jpg; pag_75_foto_2.jpg; pag_75_foto_3.jpg; pag_75_foto_4.jpg
76,11,jerarquia-con-fracciones,matematicas-2,pag_76_foto_1.jpg; pag_76_foto_10.jpg; pag_76_foto_11.jpg; pag_76_foto_2.jpg; pag_76_foto_3.jpg; pag_76_foto_4.jpg; pag_76_foto_5.jpg; pag_76_foto_6.jpg; pag_76_foto_7.jpg; pag_76_foto_8.jpg; pag_76_foto_9.jpg
77,2,jerarquia-con-fracciones,matematicas-2,pag_77_foto_1.jpg; pag_77_foto_2.jpg
78,2,jerarquia-con-fracciones,matematicas-2,pag_78_foto_1.jpg; pag_78_foto_2.jpg
79,3,jerarquia-con-fracciones,matematicas-2,pag_79_foto_1.jpg; pag_79_foto_2.jpg; pag_79_foto_3.jpg
80,2,jerarquia-con-fracciones,matematicas-2,pag_80_foto_1.jpg; pag_80_foto_2.jpg
81,2,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_81_foto_1.jpg; pag_81_foto_2.jpg
82,9,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_82_foto_1.jpg; pag_82_foto_2.jpg; pag_82_foto_3.jpg; pag_82_foto_4.jpg; pag_82_foto_5.jpg; pag_82_foto_6.jpg; pag_82_foto_7.jpg; pag_82_foto_8.jpg; pag_82_foto_9.jpg
83,2,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_83_foto_1.jpg; pag_83_foto_2.jpg
85,3,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_85_foto_1.jpg; pag_85_foto_2.jpg; pag_85_foto_3.jpg
86,4,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_86_foto_1.jpg; pag_86_foto_2.jpg; pag_86_foto_3.jpg; pag_86_foto_4.jpg
87,8,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_87_foto_1.jpg; pag_87_foto_2.jpg; pag_87_foto_3.jpg; pag_87_foto_4.jpg; pag_87_foto_5.jpg; pag_87_foto_6.jpg; pag_87_foto_7.jpg; pag_87_foto_8.jpg
88,3,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_88_foto_1.jpg; pag_88_foto_2.jpg; pag_88_foto_3.jpg
89,2,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_89_foto_1.jpg; pag_89_foto_2.jpg
90,3,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_90_foto_1.jpg; pag_90_foto_2.jpg; pag_90_foto_3.jpg
91,5,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_91_foto_1.jpg; pag_91_foto_2.jpg; pag_91_foto_3.jpg; pag_91_foto_4.jpg; pag_91_foto_5.jpg
92,1,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_92_foto_1.jpg
93,3,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_93_foto_1.jpg; pag_93_foto_2.jpg; pag_93_foto_3.jpg
94,4,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_94_foto_1.jpg; pag_94_foto_2.jpg; pag_94_foto_3.jpg; pag_94_foto_4.jpg
95,6,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_95_foto_1.jpg; pag_95_foto_2.jpg; pag_95_foto_3.jpg; pag_95_foto_4.jpg; pag_95_foto_5.jpg; pag_95_foto_6.jpg
96,5,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_96_foto_1.jpg; pag_96_foto_2.jpg; pag_96_foto_3.jpg; pag_96_foto_4.jpg; pag_96_foto_5.jpg
97,7,"[REVISAR - Sistemas, Cuadráticas, Cónicas]",matematicas-3,pag_97_foto_1.jpg; pag_97_foto_2.jpg; pag_97_foto_3.jpg; pag_97_foto_4.jpg; pag_97_foto_5.jpg; pag_97_foto_6.jpg; pag_97_foto_7.jpg
